age_group,income_group,city_tier,purchase_frequency,preowned_willingness,auth_importance,discount_threshold,trust_score,max_spend,luxe_loop_interest
35-44,25-50K,Tier 1,Rarely,Maybe,High,40%+,2.48,6845,1
35-44,1L-2L,Tier 1,Occasionally,Maybe,Low,10-20%,2.32,124342,0
25-34,<25K,Tier 3,Frequently,Definitely,Medium,0%,2.69,242366,1
45+,1L-2L,Tier 1,Frequently,No,Low,20-40%,3.29,244004,1
45+,2L+,Tier 1,Rarely,Maybe,High,0%,4.61,199110,0
45+,<25K,Tier 3,Rarely,No,Medium,20-40%,2.58,253850,0
45+,2L+,Tier 3,Occasionally,Definitely,High,40%+,4.92,219362,1
35-44,25-50K,Tier 1,Occasionally,Maybe,Low,10-20%,4.04,252688,1
25-34,<25K,Tier 3,Occasionally,No,High,0%,3.05,39404,0
25-34,2L+,Tier 2,Never,Maybe,High,10-20%,3.58,27564,1
35-44,25-50K,Tier 2,Never,Maybe,Low,0%,1.41,102898,1
25-34,1L-2L,Tier 3,Rarely,Maybe,High,20-40%,4.38,285371,1
35-44,25-50K,Tier 3,Never,No,Low,10-20%,3.33,100259,0
45+,50K-1L,Tier 1,Occasionally,Definitely,Medium,0%,4.94,129451,1
35-44,25-50K,Tier 3,Occasionally,Maybe,Low,40%+,3.55,22215,1
45+,25-50K,Tier 1,Never,Definitely,Low,20-40%,4.34,135577,1
45+,50K-1L,Tier 2,Frequently,Definitely,Medium,10-20%,4.2,263392,1
18-24,2L+,Tier 3,Rarely,No,Low,0%,2.38,76074,0
35-44,2L+,Tier 1,Frequently,No,Medium,10-20%,2.04,113621,0
18-24,25-50K,Tier 1,Rarely,Definitely,Medium,0%,2.72,184289,1
35-44,50K-1L,Tier 2,Frequently,Maybe,Low,20-40%,2.87,111759,1
35-44,50K-1L,Tier 3,Never,No,High,40%+,1.96,133471,1
18-24,1L-2L,Tier 2,Rarely,Maybe,High,20-40%,4.58,288855,0
18-24,2L+,Tier 1,Rarely,Maybe,Medium,10-20%,3.17,53398,0
35-44,<25K,Tier 1,Rarely,Maybe,High,10-20%,4.91,268430,1
25-34,2L+,Tier 3,Occasionally,Definitely,High,0%,4.24,170369,1
45+,2L+,Tier 1,Occasionally,Maybe,Low,20-40%,3.22,113304,0
18-24,1L-2L,Tier 3,Frequently,Definitely,Medium,0%,4.79,109959,1
45+,<25K,Tier 2,Never,Definitely,Medium,20-40%,3.02,244317,1
25-34,1L-2L,Tier 3,Occasionally,Maybe,Low,10-20%,4.55,162557,0
25-34,<25K,Tier 3,Rarely,Maybe,High,0%,2.43,134745,0
25-34,25-50K,Tier 1,Occasionally,Maybe,Medium,0%,2.51,59583,0
18-24,<25K,Tier 1,Never,Maybe,High,20-40%,2.67,129077,0
25-34,1L-2L,Tier 3,Occasionally,Definitely,Medium,40%+,3.19,116359,0
18-24,2L+,Tier 1,Rarely,Maybe,Medium,20-40%,3.21,32086,1
25-34,<25K,Tier 1,Frequently,Maybe,Medium,40%+,2.99,152556,0
45+,<25K,Tier 1,Rarely,Definitely,Medium,20-40%,2.22,204695,0
45+,50K-1L,Tier 3,Never,No,High,10-20%,4.71,109132,0
35-44,2L+,Tier 1,Frequently,No,High,0%,3.35,64263,0
45+,25-50K,Tier 3,Occasionally,Definitely,High,20-40%,2.63,154747,0
35-44,1L-2L,Tier 1,Occasionally,No,High,10-20%,3.6,65664,0
45+,25-50K,Tier 2,Occasionally,Definitely,Low,20-40%,4.07,182198,1
18-24,2L+,Tier 1,Frequently,Maybe,Medium,0%,4.84,247730,0
45+,<25K,Tier 1,Rarely,Maybe,Medium,20-40%,3.0,72804,1
35-44,<25K,Tier 3,Frequently,No,Medium,40%+,1.45,295232,1
35-44,2L+,Tier 3,Frequently,Maybe,Low,0%,2.76,216087,0
25-34,<25K,Tier 1,Never,No,High,40%+,2.92,92893,0
18-24,<25K,Tier 2,Frequently,No,Medium,10-20%,4.59,273113,1
45+,<25K,Tier 1,Occasionally,Maybe,High,10-20%,2.58,13981,1
25-34,1L-2L,Tier 1,Rarely,Maybe,High,20-40%,4.81,112154,1
45+,1L-2L,Tier 2,Rarely,No,Low,40%+,2.94,291552,0
45+,50K-1L,Tier 3,Rarely,Maybe,Low,40%+,4.9,160313,1
25-34,25-50K,Tier 1,Occasionally,Definitely,High,0%,1.03,187177,0
25-34,2L+,Tier 3,Occasionally,Maybe,Medium,40%+,4.6,197122,0
25-34,2L+,Tier 3,Occasionally,Maybe,Medium,40%+,4.72,8657,1
25-34,2L+,Tier 2,Occasionally,Definitely,Low,0%,4.84,288374,0
25-34,50K-1L,Tier 2,Occasionally,Maybe,Low,0%,1.05,218766,0
45+,1L-2L,Tier 3,Frequently,Maybe,Low,40%+,1.69,89731,1
25-34,50K-1L,Tier 1,Occasionally,No,Low,20-40%,3.62,178412,1
18-24,2L+,Tier 3,Occasionally,Maybe,Low,0%,1.1,172022,0
35-44,25-50K,Tier 1,Occasionally,Maybe,Low,0%,1.25,143939,1
25-34,<25K,Tier 1,Occasionally,Definitely,Low,40%+,1.88,214614,0
25-34,1L-2L,Tier 2,Rarely,No,Medium,40%+,3.05,9329,1
45+,1L-2L,Tier 1,Occasionally,No,Low,0%,3.18,203012,1
25-34,50K-1L,Tier 1,Frequently,No,Low,40%+,1.14,42869,1
25-34,1L-2L,Tier 3,Frequently,Maybe,Medium,0%,1.68,202977,1
25-34,2L+,Tier 2,Frequently,No,Medium,20-40%,3.0,88984,0
45+,2L+,Tier 1,Never,Definitely,High,20-40%,3.38,106069,1
25-34,50K-1L,Tier 1,Rarely,No,Low,0%,1.59,253577,0
35-44,2L+,Tier 2,Occasionally,Definitely,Low,0%,2.6,123728,0
45+,25-50K,Tier 3,Never,No,Low,10-20%,4.62,30801,1
35-44,50K-1L,Tier 2,Occasionally,No,Low,10-20%,5.0,223359,1
45+,25-50K,Tier 2,Never,Definitely,High,40%+,4.95,240637,1
25-34,<25K,Tier 1,Never,No,Medium,40%+,4.53,95709,1
35-44,25-50K,Tier 1,Frequently,No,Medium,0%,2.58,260560,1
45+,<25K,Tier 3,Frequently,No,Low,0%,3.75,248738,0
18-24,<25K,Tier 1,Never,Maybe,Low,10-20%,2.67,212831,1
25-34,25-50K,Tier 1,Frequently,Definitely,Low,10-20%,3.59,21220,0
45+,50K-1L,Tier 2,Never,No,High,0%,2.24,280536,0
18-24,2L+,Tier 1,Rarely,Definitely,High,20-40%,3.42,287154,0
45+,2L+,Tier 3,Frequently,Definitely,Medium,20-40%,3.1,131951,0
18-24,<25K,Tier 2,Frequently,Definitely,Low,40%+,1.1,153306,1
25-34,<25K,Tier 3,Frequently,No,Low,0%,4.16,120795,1
35-44,50K-1L,Tier 2,Rarely,No,Low,0%,1.05,130223,0
18-24,1L-2L,Tier 1,Never,Definitely,Low,40%+,2.17,80205,0
45+,25-50K,Tier 2,Occasionally,Maybe,High,10-20%,1.02,6082,1
25-34,<25K,Tier 2,Frequently,Definitely,Medium,10-20%,2.5,163566,0
18-24,2L+,Tier 1,Never,Maybe,Medium,20-40%,1.25,41719,1
45+,50K-1L,Tier 1,Rarely,Definitely,High,0%,4.65,53737,0
45+,25-50K,Tier 3,Occasionally,Definitely,Low,10-20%,2.66,112271,1
45+,50K-1L,Tier 3,Frequently,Definitely,Medium,20-40%,2.84,175608,0
18-24,25-50K,Tier 1,Rarely,No,Medium,20-40%,2.4,186676,0
18-24,25-50K,Tier 1,Rarely,Maybe,High,20-40%,3.51,72839,0
18-24,<25K,Tier 1,Occasionally,Maybe,Low,10-20%,4.14,187075,1
35-44,50K-1L,Tier 2,Never,Definitely,Medium,10-20%,3.59,92745,1
18-24,50K-1L,Tier 2,Frequently,No,Low,0%,3.99,131298,1
18-24,2L+,Tier 2,Frequently,No,Medium,0%,4.62,98709,0
18-24,2L+,Tier 1,Never,Maybe,High,20-40%,4.45,226798,0
35-44,<25K,Tier 3,Never,No,Low,20-40%,3.7,112252,0
18-24,<25K,Tier 1,Never,Maybe,High,10-20%,1.86,177855,0
45+,1L-2L,Tier 2,Occasionally,Maybe,Medium,10-20%,3.55,219838,0
18-24,2L+,Tier 2,Occasionally,Maybe,High,0%,3.02,225013,0
45+,25-50K,Tier 1,Frequently,No,High,0%,3.87,279947,1
45+,50K-1L,Tier 1,Occasionally,Maybe,High,40%+,4.33,185697,1
45+,<25K,Tier 2,Rarely,Maybe,Medium,0%,3.97,123819,1
35-44,50K-1L,Tier 2,Frequently,Definitely,Low,10-20%,4.39,18698,0
35-44,50K-1L,Tier 2,Occasionally,Maybe,High,20-40%,1.26,20376,1
35-44,1L-2L,Tier 1,Never,Maybe,Low,40%+,1.13,280261,0
18-24,2L+,Tier 2,Rarely,Definitely,Medium,0%,2.03,241591,0
45+,<25K,Tier 2,Never,Definitely,Low,0%,4.6,53786,1
35-44,50K-1L,Tier 3,Frequently,No,High,10-20%,4.29,118005,0
35-44,<25K,Tier 1,Never,Maybe,High,40%+,3.73,223850,0
18-24,25-50K,Tier 3,Occasionally,No,High,0%,3.8,167767,0
35-44,1L-2L,Tier 3,Occasionally,No,High,20-40%,3.91,97529,0
18-24,25-50K,Tier 2,Frequently,Definitely,High,10-20%,4.77,246496,0
25-34,<25K,Tier 1,Never,No,High,40%+,4.33,105919,1
35-44,<25K,Tier 2,Frequently,Maybe,Medium,0%,3.49,203382,1
25-34,2L+,Tier 1,Never,Definitely,Medium,0%,3.66,214870,0
18-24,50K-1L,Tier 3,Rarely,Maybe,Medium,40%+,1.85,74407,0
45+,50K-1L,Tier 1,Occasionally,Maybe,Low,10-20%,3.63,78809,1
35-44,25-50K,Tier 2,Frequently,Definitely,Low,40%+,2.7,284373,1
18-24,1L-2L,Tier 2,Rarely,Maybe,Medium,40%+,1.61,47176,1
45+,50K-1L,Tier 2,Rarely,Definitely,Low,10-20%,4.23,99825,0
45+,2L+,Tier 1,Frequently,Maybe,Low,0%,3.04,102555,1
25-34,25-50K,Tier 3,Frequently,Definitely,High,20-40%,4.91,8145,1
18-24,25-50K,Tier 3,Rarely,No,High,10-20%,2.13,102289,0
45+,2L+,Tier 1,Never,Maybe,Low,20-40%,2.92,143874,0
35-44,1L-2L,Tier 2,Rarely,Definitely,Low,0%,2.79,269407,1
35-44,2L+,Tier 3,Frequently,Maybe,Medium,40%+,1.48,62788,0
25-34,1L-2L,Tier 2,Rarely,Maybe,Low,20-40%,2.7,144227,1
45+,2L+,Tier 1,Never,Maybe,High,0%,2.15,136994,1
18-24,2L+,Tier 2,Occasionally,Definitely,Low,0%,1.64,208303,0
35-44,<25K,Tier 3,Occasionally,No,Medium,40%+,2.13,156744,0
45+,25-50K,Tier 3,Rarely,No,High,40%+,1.93,174598,1
45+,2L+,Tier 2,Never,No,High,0%,3.94,78352,0
25-34,2L+,Tier 1,Occasionally,Definitely,High,0%,1.12,231710,0
35-44,50K-1L,Tier 2,Rarely,No,High,20-40%,3.47,174770,0
35-44,25-50K,Tier 1,Rarely,Definitely,Low,0%,4.04,290528,0
18-24,50K-1L,Tier 2,Never,Maybe,Medium,0%,2.92,8512,0
35-44,25-50K,Tier 3,Frequently,Maybe,Low,20-40%,4.73,167572,0
18-24,50K-1L,Tier 1,Rarely,No,Low,10-20%,3.83,128775,0
35-44,2L+,Tier 1,Frequently,Definitely,High,20-40%,3.99,83743,1
25-34,2L+,Tier 1,Frequently,Maybe,Medium,20-40%,1.79,84858,0
35-44,<25K,Tier 3,Occasionally,Definitely,High,40%+,4.11,59800,1
18-24,50K-1L,Tier 2,Frequently,Definitely,Low,20-40%,4.33,105364,0
18-24,1L-2L,Tier 3,Never,Maybe,Low,0%,2.45,269531,1
25-34,<25K,Tier 1,Occasionally,Definitely,High,0%,1.85,192232,0
35-44,50K-1L,Tier 2,Occasionally,Maybe,Low,0%,2.54,209639,1
35-44,50K-1L,Tier 3,Occasionally,Maybe,Low,10-20%,3.96,137871,0
25-34,<25K,Tier 1,Rarely,Maybe,High,0%,2.67,124095,1
35-44,2L+,Tier 1,Rarely,Definitely,Low,10-20%,3.95,40548,0
35-44,50K-1L,Tier 3,Frequently,Maybe,Medium,0%,1.45,95450,0
18-24,2L+,Tier 3,Occasionally,Definitely,High,20-40%,4.22,110669,1
35-44,<25K,Tier 3,Occasionally,Maybe,Medium,40%+,2.01,78071,1
35-44,2L+,Tier 1,Never,Maybe,Low,0%,2.0,117808,0
25-34,25-50K,Tier 3,Frequently,No,Low,10-20%,3.36,83591,1
25-34,1L-2L,Tier 1,Never,No,High,10-20%,1.28,229213,1
45+,50K-1L,Tier 3,Frequently,No,Low,40%+,1.11,271441,0
18-24,1L-2L,Tier 1,Frequently,Definitely,High,0%,2.04,114513,1
35-44,2L+,Tier 1,Rarely,Definitely,High,20-40%,3.15,103752,0
35-44,50K-1L,Tier 2,Rarely,Maybe,High,0%,4.63,141080,1
45+,2L+,Tier 3,Never,Maybe,High,0%,4.39,222885,0
35-44,25-50K,Tier 3,Frequently,Maybe,High,40%+,2.96,152892,1
18-24,<25K,Tier 1,Occasionally,Maybe,Medium,0%,1.15,158325,0
45+,50K-1L,Tier 1,Rarely,Definitely,High,20-40%,3.14,72156,0
18-24,25-50K,Tier 1,Occasionally,Maybe,Medium,10-20%,3.82,247960,1
45+,25-50K,Tier 2,Never,Maybe,Low,40%+,2.36,65263,1
45+,50K-1L,Tier 2,Rarely,No,High,20-40%,1.44,104252,0
25-34,2L+,Tier 1,Rarely,Maybe,Low,10-20%,2.11,123632,0
18-24,25-50K,Tier 3,Frequently,Maybe,High,40%+,4.09,21575,1
35-44,1L-2L,Tier 3,Never,Maybe,Medium,40%+,2.4,279348,1
35-44,25-50K,Tier 2,Frequently,Definitely,Medium,10-20%,4.25,16952,1
18-24,2L+,Tier 2,Rarely,No,Medium,10-20%,2.28,88323,1
35-44,2L+,Tier 1,Never,Maybe,Low,20-40%,1.65,187214,1
35-44,1L-2L,Tier 3,Rarely,Maybe,High,0%,2.74,169944,1
18-24,25-50K,Tier 1,Never,No,Low,0%,2.81,165448,0
45+,2L+,Tier 2,Rarely,Maybe,Medium,0%,1.06,202156,1
18-24,50K-1L,Tier 3,Occasionally,Definitely,Low,0%,1.47,147712,1
45+,<25K,Tier 3,Occasionally,Maybe,Medium,0%,1.74,293581,1
35-44,<25K,Tier 2,Frequently,Definitely,Medium,20-40%,1.45,132129,1
35-44,<25K,Tier 1,Occasionally,Definitely,Medium,40%+,2.37,259522,0
35-44,25-50K,Tier 1,Rarely,Maybe,High,20-40%,4.86,12903,0
25-34,1L-2L,Tier 3,Rarely,No,High,20-40%,3.04,219776,0
45+,2L+,Tier 2,Occasionally,Definitely,Medium,20-40%,3.51,31863,0
25-34,50K-1L,Tier 3,Frequently,No,Low,40%+,2.43,295692,1
25-34,50K-1L,Tier 2,Occasionally,Maybe,Low,20-40%,2.29,16467,0
18-24,25-50K,Tier 1,Never,Definitely,High,20-40%,1.09,291045,1
25-34,<25K,Tier 2,Never,Maybe,Medium,40%+,3.0,290445,1
18-24,25-50K,Tier 1,Never,No,Low,20-40%,2.93,238614,0
18-24,1L-2L,Tier 2,Occasionally,Maybe,Medium,0%,1.63,74903,0
25-34,1L-2L,Tier 3,Occasionally,Maybe,Low,10-20%,4.06,24755,1
45+,2L+,Tier 1,Occasionally,Definitely,High,20-40%,2.97,269237,0
45+,2L+,Tier 3,Never,Maybe,Medium,10-20%,2.36,261094,0
45+,1L-2L,Tier 3,Frequently,Maybe,Medium,20-40%,1.59,290084,1
45+,1L-2L,Tier 1,Rarely,Maybe,Low,20-40%,3.21,180112,1
45+,1L-2L,Tier 1,Occasionally,Definitely,Low,0%,4.01,133714,1
25-34,25-50K,Tier 3,Frequently,No,Low,40%+,2.13,96544,1
25-34,1L-2L,Tier 3,Rarely,No,Medium,10-20%,1.88,89437,1
35-44,50K-1L,Tier 3,Rarely,Maybe,High,40%+,3.09,112001,0
45+,<25K,Tier 3,Rarely,Definitely,High,0%,1.62,92725,1
25-34,1L-2L,Tier 1,Frequently,Maybe,Low,0%,3.67,115675,1
35-44,<25K,Tier 1,Frequently,No,High,10-20%,3.42,99266,1
45+,25-50K,Tier 3,Never,Definitely,Low,40%+,1.35,276380,0
18-24,<25K,Tier 2,Frequently,No,High,0%,1.15,220196,1
35-44,25-50K,Tier 2,Frequently,No,Medium,20-40%,3.48,139974,1
25-34,50K-1L,Tier 1,Frequently,Definitely,Low,20-40%,2.18,104656,0
18-24,25-50K,Tier 3,Rarely,Definitely,High,20-40%,1.35,112071,1
18-24,25-50K,Tier 3,Occasionally,Maybe,Medium,40%+,4.04,156168,1
18-24,2L+,Tier 1,Never,Maybe,High,20-40%,2.26,148092,1
35-44,1L-2L,Tier 2,Occasionally,No,Medium,20-40%,2.84,63473,0
25-34,1L-2L,Tier 2,Occasionally,Definitely,Medium,0%,1.95,246472,0
18-24,50K-1L,Tier 2,Frequently,Definitely,High,0%,3.51,177349,1
45+,50K-1L,Tier 1,Never,Maybe,High,20-40%,2.21,20675,1
18-24,1L-2L,Tier 2,Occasionally,No,Medium,20-40%,4.87,123384,1
18-24,2L+,Tier 1,Occasionally,No,Medium,0%,3.81,83229,0
35-44,1L-2L,Tier 1,Never,Maybe,Medium,10-20%,1.55,94049,0
35-44,2L+,Tier 3,Frequently,Definitely,Low,40%+,2.67,188220,0
25-34,50K-1L,Tier 2,Occasionally,Maybe,Medium,40%+,2.54,225319,0
45+,<25K,Tier 1,Rarely,Maybe,Low,0%,3.14,110711,0
35-44,50K-1L,Tier 2,Occasionally,Maybe,Medium,40%+,4.37,115090,0
18-24,50K-1L,Tier 2,Rarely,Maybe,Low,0%,3.33,206974,1
25-34,25-50K,Tier 3,Frequently,Definitely,Medium,0%,1.25,293609,0
18-24,25-50K,Tier 2,Occasionally,Maybe,Medium,0%,3.62,299430,1
18-24,25-50K,Tier 3,Never,Definitely,Medium,0%,1.03,59795,0
35-44,25-50K,Tier 1,Never,Maybe,High,10-20%,4.12,215255,1
25-34,2L+,Tier 2,Occasionally,No,High,20-40%,3.67,108845,0
45+,1L-2L,Tier 1,Frequently,Definitely,Medium,20-40%,2.24,277889,1
45+,<25K,Tier 2,Frequently,No,Low,10-20%,2.17,259232,1
35-44,50K-1L,Tier 1,Never,Maybe,Low,40%+,4.19,258730,1
35-44,2L+,Tier 2,Occasionally,Maybe,Medium,40%+,4.13,208426,0
25-34,<25K,Tier 2,Frequently,Maybe,High,20-40%,2.41,234333,0
45+,2L+,Tier 2,Never,Definitely,Low,40%+,2.2,53566,0
45+,2L+,Tier 2,Rarely,No,High,20-40%,3.24,79974,1
45+,50K-1L,Tier 2,Occasionally,Definitely,Low,20-40%,1.03,175951,1
18-24,1L-2L,Tier 2,Rarely,Definitely,Medium,10-20%,1.33,253595,1
45+,25-50K,Tier 2,Rarely,Maybe,High,40%+,1.5,109417,0
18-24,1L-2L,Tier 2,Frequently,No,Low,10-20%,1.74,184729,0
25-34,50K-1L,Tier 2,Frequently,Maybe,Medium,20-40%,3.05,144570,1
18-24,50K-1L,Tier 1,Frequently,Definitely,Medium,20-40%,4.97,209739,0
25-34,50K-1L,Tier 3,Occasionally,Maybe,Medium,20-40%,3.61,292251,0
45+,<25K,Tier 2,Rarely,No,High,0%,1.25,164865,0
45+,1L-2L,Tier 3,Occasionally,Maybe,High,0%,3.1,94241,0
25-34,1L-2L,Tier 2,Frequently,No,Medium,0%,2.99,28397,1
35-44,2L+,Tier 2,Rarely,No,High,10-20%,1.58,12704,0
25-34,2L+,Tier 1,Occasionally,Maybe,Low,20-40%,4.68,283586,0
35-44,2L+,Tier 1,Occasionally,Definitely,Medium,40%+,2.76,199860,1
18-24,50K-1L,Tier 3,Never,Maybe,Medium,10-20%,4.98,134576,1
18-24,1L-2L,Tier 1,Occasionally,Definitely,High,10-20%,2.68,14765,0
18-24,50K-1L,Tier 1,Frequently,Definitely,Medium,10-20%,3.43,15002,0
45+,<25K,Tier 3,Occasionally,Maybe,Low,40%+,1.42,264853,0
18-24,2L+,Tier 1,Rarely,Definitely,High,20-40%,2.82,278534,0
35-44,50K-1L,Tier 2,Occasionally,Definitely,High,0%,1.96,180508,1
18-24,50K-1L,Tier 3,Never,Maybe,Medium,20-40%,4.34,263446,1
25-34,<25K,Tier 3,Rarely,Maybe,Medium,20-40%,4.14,250620,1
25-34,25-50K,Tier 2,Rarely,Maybe,Medium,10-20%,4.3,11641,0
45+,1L-2L,Tier 1,Never,Definitely,High,10-20%,3.89,116119,0
25-34,25-50K,Tier 3,Frequently,No,Medium,10-20%,4.33,282768,1
35-44,2L+,Tier 3,Rarely,Definitely,Low,0%,1.8,14966,0
18-24,50K-1L,Tier 2,Frequently,No,Medium,0%,2.81,225422,1
45+,<25K,Tier 2,Rarely,Maybe,Medium,0%,3.77,170261,1
18-24,<25K,Tier 1,Rarely,No,High,20-40%,3.55,76301,1
18-24,1L-2L,Tier 3,Frequently,Maybe,Medium,10-20%,3.87,120123,1
35-44,25-50K,Tier 1,Rarely,Maybe,High,40%+,1.9,239624,1
25-34,1L-2L,Tier 1,Frequently,No,Medium,20-40%,1.39,9959,1
25-34,50K-1L,Tier 2,Never,Maybe,Low,0%,4.67,129125,1
18-24,1L-2L,Tier 3,Frequently,No,Low,40%+,3.24,32215,0
45+,<25K,Tier 3,Never,Maybe,High,40%+,1.62,60046,1
25-34,<25K,Tier 3,Rarely,Definitely,High,10-20%,4.17,238265,1
45+,2L+,Tier 2,Frequently,Definitely,Medium,40%+,4.66,174741,0
25-34,2L+,Tier 2,Rarely,Maybe,Medium,0%,1.68,172198,1
45+,50K-1L,Tier 2,Frequently,Maybe,Low,10-20%,4.27,125333,0
35-44,25-50K,Tier 2,Never,No,Medium,40%+,4.73,21772,1
45+,1L-2L,Tier 2,Never,Definitely,Low,10-20%,4.75,56943,0
35-44,50K-1L,Tier 3,Frequently,No,High,40%+,4.66,158290,0
35-44,2L+,Tier 1,Never,Maybe,Medium,20-40%,3.19,106124,0
45+,1L-2L,Tier 3,Rarely,Maybe,High,20-40%,2.42,141031,1
35-44,2L+,Tier 1,Rarely,No,Medium,0%,1.03,219051,0
18-24,1L-2L,Tier 2,Occasionally,Maybe,Low,20-40%,1.24,30874,1
35-44,25-50K,Tier 1,Never,Definitely,High,20-40%,2.72,136007,1
25-34,50K-1L,Tier 3,Rarely,No,High,20-40%,2.6,6301,1
45+,1L-2L,Tier 3,Frequently,Definitely,Medium,40%+,1.74,48319,1
18-24,<25K,Tier 1,Never,Definitely,High,40%+,2.58,225688,1
45+,<25K,Tier 2,Rarely,Definitely,Low,10-20%,1.7,222291,1
25-34,1L-2L,Tier 2,Never,No,High,40%+,4.4,289599,1
25-34,1L-2L,Tier 3,Frequently,Maybe,High,20-40%,2.19,140184,0
25-34,1L-2L,Tier 1,Rarely,Definitely,Medium,40%+,3.39,194432,1
35-44,<25K,Tier 2,Occasionally,Definitely,High,0%,3.01,37735,1
35-44,<25K,Tier 2,Occasionally,Definitely,Medium,10-20%,1.21,246207,0
45+,1L-2L,Tier 3,Never,Maybe,Medium,10-20%,4.77,133305,1
45+,2L+,Tier 2,Frequently,Maybe,High,40%+,3.11,203713,0
18-24,2L+,Tier 1,Rarely,No,Low,20-40%,2.3,113049,0
18-24,25-50K,Tier 3,Frequently,Maybe,Medium,10-20%,1.63,272774,1
45+,50K-1L,Tier 3,Rarely,No,High,0%,2.35,70488,1
35-44,2L+,Tier 1,Never,No,Medium,0%,1.08,139278,0
25-34,<25K,Tier 3,Rarely,No,Low,10-20%,2.45,286097,1
45+,2L+,Tier 2,Frequently,No,Low,20-40%,3.13,146140,0
18-24,25-50K,Tier 2,Frequently,No,Medium,20-40%,4.49,263946,0
35-44,25-50K,Tier 1,Never,Definitely,Low,40%+,3.75,83930,1
45+,50K-1L,Tier 2,Frequently,Maybe,High,40%+,1.45,191988,0
45+,2L+,Tier 1,Rarely,Definitely,High,10-20%,1.59,268211,1
35-44,<25K,Tier 1,Never,No,Medium,40%+,2.71,57165,1
45+,<25K,Tier 2,Rarely,Maybe,Low,40%+,1.78,145931,0
35-44,1L-2L,Tier 1,Frequently,Definitely,High,40%+,1.11,34164,0
25-34,<25K,Tier 2,Never,Definitely,High,0%,4.22,109946,1
35-44,50K-1L,Tier 3,Rarely,No,High,40%+,1.08,216985,1
35-44,50K-1L,Tier 3,Frequently,Definitely,Medium,10-20%,4.32,238442,1
35-44,<25K,Tier 1,Frequently,Definitely,Medium,20-40%,1.58,25773,0
45+,<25K,Tier 2,Occasionally,Definitely,High,40%+,4.9,38939,1
